taxon_order,species_code,bio_concept_code,primary_com_name,sci_name,value
775,niuscr1,69BBDE32,Tongan Megapode,Megapodius pritchardii,IUCN_VU
776,micscr1,E19BE428,Micronesian Megapode,Megapodius laperouse,IUCN_NT
779,nicscr1,F4042498,Nicobar Megapode,Megapodius nicobariensis,IUCN_VU
782,tabscr1,A3FF8DCA,Philippine Megapode,Megapodius cumingii,IUCN_LC
790,sulscr1,034D904B,Sula Megapode,Megapodius bernsteinii,IUCN_VU
791,tanscr1,8A966B18,Tanimbar Megapode,Megapodius tenimberensis,IUCN_VU
792,dusscr1,D3A0B18E,Dusky Megapode,Megapodius freycinet,IUCN_LC
800,dusscr3,8252F53B,Biak Megapode,Megapodius geelvinkianus,IUCN_NT
801,melscr1,5795BC17,Melanesian Megapode,Megapodius eremita,IUCN_LC
802,vanscr1,45EEB735,Vanuatu Megapode,Megapodius layardi,IUCN_VU
803,negscr1,FAE8B00D,New Guinea Megapode,Megapodius decollatus,IUCN_LC
804,orfscr1,73651931,Orange-footed Megapode,Megapodius reinwardt,IUCN_LC
811,placha,F4F49CCB,Plain Chachalaca,Ortalis vetula,IUCN_LC
816,grhcha1,3760C5DC,Gray-headed Chachalaca,Ortalis cinereiceps,IUCN_LC
817,chwcha1,B679EB0C,Chestnut-winged Chachalaca,Ortalis garrula,IUCN_LC
818,ruvcha1,E6447877,Rufous-vented Chachalaca,Ortalis ruficauda,IUCN_LC
821,ruhcha1,7B8E0E0F,Rufous-headed Chachalaca,Ortalis erythroptera,IUCN_VU
822,rubcha1,1C856C25,Rufous-bellied Chachalaca,Ortalis wagleri,IUCN_LC
823,wemcha1,98FC9EB9,West Mexican Chachalaca,Ortalis poliocephala,IUCN_LC
824,chacha1,497B576C,Chaco Chachalaca,Ortalis canicollis,IUCN_LC
827,whbcha1,36D6CAB7,White-bellied Chachalaca,Ortalis leucogastra,IUCN_LC
828,colcha1,1F58D15F,Colombian Chachalaca,Ortalis columbiana,IUCN_LC
829,specha3,3BA3E03E,Speckled Chachalaca,Ortalis guttata,IUCN_LC
834,specha2,7C8C422A,East Brazilian Chachalaca,Ortalis araucuan,IUCN_LC
835,specha4,407F8A84,Scaled Chachalaca,Ortalis squamata,IUCN_LC
838,bubcha1,D2E6C1C1,Buff-browed Chachalaca,Ortalis superciliaris,IUCN_LC
840,batgua1,540D21F5,Band-tailed Guan,Penelope argyrotis,IUCN_LC
844,beagua1,89605A18,Bearded Guan,Penelope barbata,IUCN_NT
845,baugua1,BA3D0CC1,Baudo Guan,Penelope ortoni,IUCN_EN
846,andgua1,6CF279AC,Andean Guan,Penelope montagnii,IUCN_LC
852,margua1,B08C691D,Marail Guan,Penelope marail,IUCN_LC
855,rumgua1,28799734,Rusty-margined Guan,Penelope superciliaris,IUCN_NT
859,refgua1,D3E64B50,Red-faced Guan,Penelope dabbenei,IUCN_LC
860,spigua1,1D1EDAF0,Spix's Guan,Penelope jacquacu,IUCN_LC
867,cregua1,01A38979,Crested Guan,Penelope purpurascens,IUCN_NT
871,caugua1,2296FCC4,Cauca Guan,Penelope perspicax,IUCN_VU
872,whwgua1,D10D229A,White-winged Guan,Penelope albipennis,IUCN_EN
878,whcgua1,474C532A,White-crested Guan,Penelope pileata,IUCN_VU
