species_code	authority_ver	taxon_order	category	sci_name	primary_com_name	order1	family_sci_name	bio_concept_code	
mewgul2	2023	6477	species	Larus brachyrhynchus	Short-billed Gull	Charadriiformes	Laridae	342F6965	
ribgul	2023	6479	species	Larus delawarensis	Ring-billed Gull	Charadriiformes	Laridae	23863F65	
wesgul	2023	6485	species	Larus occidentalis	Western Gull	Charadriiformes	Laridae	575A3E3B	
yefgul	2023	6484	species	Larus livens	Yellow-footed Gull	Charadriiformes	Laridae	87E74BBF	
calgul	2023	6539	species	Larus californicus	California Gull	Charadriiformes	Laridae	7FCE8A43	
calgul1	2023	6540	subspecies	Larus californicus californicus	California Gull (californicus)	Charadriiformes	Laridae	315CA2A0	
calgul2	2023	6541	subspecies	Larus californicus albertaensis	California Gull (albertaensis)	Charadriiformes	Laridae	F3D4B886	
hergul	2023	6496	species	Larus argentatus	Herring Gull	Charadriiformes	Laridae	8535345B	
amhgul1	2023	6497	subspecies	Larus argentatus smithsonianus	Herring Gull (American)	Charadriiformes	Laridae	60F32AF8	
veggul1	2023	6498	subspecies	Larus argentatus vegae	Herring Gull (Vega)	Charadriiformes	Laridae	FD1EF7BB	
casgul4	2023	6499	subspecies	Larus argentatus mongolicus	Herring Gull (Mongolian)	Charadriiformes	Laridae	E1325FAB	
euhgul1	2023	6500	issf	Larus argentatus argentatus/argenteus	Herring Gull (European)	Charadriiformes	Laridae		
yelgul1	2023	6507	species	Larus michahellis	Yellow-legged Gull	Charadriiformes	Laridae	E074D706	
yelgul2	2023	6508	subspecies	Larus michahellis atlantis	Yellow-legged Gull (atlantis)	Charadriiformes	Laridae	2AB668E3	
yelgul3	2023	6509	subspecies	Larus michahellis michahellis	Yellow-legged Gull (michahellis)	Charadriiformes	Laridae	9AADBEC7	
casgul2	2023	6489	species	Larus cachinnans	Caspian Gull	Charadriiformes	Laridae	93CA037F	
armgul1	2023	6514	species	Larus armenicus	Armenian Gull	Charadriiformes	Laridae	F6951FF7	
y00478	2023	6553	species	Larus glaucoides	Iceland Gull	Charadriiformes	Laridae	FB4FCB27	
thagul	2023	6554	subspecies	Larus glaucoides thayeri	Iceland Gull (Thayer's)	Charadriiformes	Laridae	69E83944	
kumgul1	2023	6555	subspecies	Larus glaucoides kumlieni	Iceland Gull (kumlieni)	Charadriiformes	Laridae	0C55DFCC	
icegul1	2023	6557	subspecies	Larus glaucoides glaucoides	Iceland Gull (glaucoides)	Charadriiformes	Laridae	D7148946	
lbbgul	2023	6526	species	Larus fuscus	Lesser Black-backed Gull	Charadriiformes	Laridae	2D52E3A5	
lbbgul1	2023	6527	subspecies	Larus fuscus fuscus	Lesser Black-backed Gull (fuscus)	Charadriiformes	Laridae	42720061	
lbbgul2	2023	6528	subspecies	Larus fuscus intermedius	Lesser Black-backed Gull (intermedius)	Charadriiformes	Laridae	0CFFDCF7	
lbbgul3	2023	6529	subspecies	Larus fuscus graellsii	Lesser Black-backed Gull (graellsii)	Charadriiformes	Laridae	DC679FC7	
