Scientific_name_eBird,English_name,Scientific_name_BirdLife,Continent,Peak_HTI,LowerCI_Peak_HTI,UpperCI_Peak_HTI,Conservative_HTI,LowerCI_Conservative_HTI,UpperCI_Conservative_HTI,Maximum_HTI,LowerCI_Maximum_HTI,UpperCI_Maximum_HTI,Missing_resampling_replicates
Acrocephalus dumetorum,Blyth's Reed Warbler,Acrocephalus dumetorum,Europe,35.71020408,34.25252181,37.16788635,49.72857143,49.5866392,49.87050366,49.99183673,49.98122907,50,1
Acrocephalus gracilirostris,Lesser Swamp Warbler,Acrocephalus gracilirostris,Africa,34.556,33.14489813,35.96710187,47.578,47.2606986,47.8953014,49.89,49.81965026,49.96034974,0
Acrocephalus hiwae,Saipan Reed Warbler,Acrocephalus hiwae,Oceania,31.22954545,28.47013488,33.98895602,41.3,39.78853912,42.81146088,45.90454545,44.93189691,46.877194,6
Acrocephalus melanopogon,Moustached Warbler,Acrocephalus melanopogon,Asia,21.062,20.09575135,22.02824865,38.728,38.43562758,39.02037242,49.116,48.80375194,49.42824806,0
Acrocephalus newtoni,Madagascar Swamp Warbler,Acrocephalus newtoni,Africa,39.79591837,36.01635644,43.5754803,50,50,50,50,50,50,1
Acrocephalus orientalis,Oriental Reed Warbler,Acrocephalus orientalis,Asia,37.28723404,37.12911692,37.44535116,46.22765957,45.99187885,46.46344029,49.95957447,49.9168608,50,3
Acrocephalus paludicola,Aquatic Warbler,Acrocephalus paludicola,Europe,2.996,2.202623661,3.789376339,13.95,13.63407006,14.26592994,21.644,21.38109849,21.90690151,0
Acrocephalus palustris,Marsh Warbler,Acrocephalus palustris,Europe,30.392,30.20657321,30.57742679,42.684,42.57006097,42.79793903,49.91,49.84515269,49.97484731,0
Acrocephalus rufescens,Greater Swamp Warbler,Acrocephalus rufescens,Africa,26.486,26.21953711,26.75246289,38.082,37.88216802,38.28183198,46.69,46.33813383,47.04186617,0
Acrocephalus schoenobaenus,Sedge Warbler,Acrocephalus schoenobaenus,Asia,26.87021277,24.72967989,29.01074564,43.29787234,42.43455142,44.16119326,46.50212766,45.64906652,47.3551888,3
Acrocephalus schoenobaenus,Sedge Warbler,Acrocephalus schoenobaenus,Europe,25.126,25.04478323,25.20721677,41.388,41.28304301,41.49295699,49.992,49.98383442,50,0
Acrocephalus scirpaceus,Eurasian Reed Warbler,Acrocephalus scirpaceus,Europe,32.258,32.11448484,32.40151516,45.332,45.24921828,45.41478172,49.678,49.56951573,49.78648427,0
Acrocephalus scirpaceus,Eurasian Reed Warbler,Acrocephalus scirpaceus,Asia,35.582,35.00716896,36.15683104,45.096,45.01823636,45.17376364,48.398,48.14991763,48.64608237,0
Acrocephalus scirpaceus,Eurasian Reed Warbler,Acrocephalus scirpaceus,Africa,23.542,23.25351598,23.83048402,35.034,34.68535194,35.38264806,41.97,41.74572292,42.19427708,0
Acrocephalus stentoreus,Clamorous Reed Warbler,Acrocephalus stentoreus,Africa,25.50869565,22.59208373,28.42530758,46.55217391,45.66228506,47.44206277,49.56304348,49.31724618,49.80884077,4
Acrocephalus stentoreus,Clamorous Reed Warbler,Acrocephalus stentoreus,Asia,28.18,27.89249876,28.46750124,39.644,39.51757789,39.77042211,47.296,47.11477689,47.47722311,0
Acropternis orthonyx,Ocellated Tapaculo,Acropternis orthonyx,Latin_America,12.976,12.33342175,13.61857825,33.968,33.31841852,34.61758148,38.348,38.16174297,38.53425703,0
