"species","iucn.ordinal","max.acad","trend","bl.range.size","range.size","median.abund","hti","mig.distance","ebird.mig.dist","edge.score","sp.dist","gen.field","morph.field"
"Stilpnia_phillipsi",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Stilpnia_argyrofenges",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Stilpnia_viridicollis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Stilpnia_cyanoptera",0.05,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Stilpnia_cyanicollis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Stilpnia_nigrocincta",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Stilpnia_larvata",1,2,0.15,1,3,4,4,1,3,1,1,1,1
"Stilpnia_cayana",0.05,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Stilpnia_cucullata",0.05,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Stilpnia_vitriolina",1,0.1,3,1,3,4,4,1,3,1,1,1,1
"Stilpnia_meyerdeschauenseei",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Stilpnia_peruviana",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Stilpnia_preciosa",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Poecilostreptus_cabanisi",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Poecilostreptus_palmeri",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Thraupis_ornata",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Thraupis_palmarum",1,2,3,1,3,4,4,1,3,1,1,1,1
"Thraupis_abbas",1,2,0.15,1,3,4,4,1,3,1,1,1,1
"Thraupis_cyanoptera",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Thraupis_glaucocolpa",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Thraupis_sayaca",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Thraupis_episcopus",1,2,3,1,3,4,4,1,3,1,1,1,1
